[it 0082] step=83968 | EpRew=-1.3 EpCost=0.0 | Vr=0.007 Vc=0.005 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=4.7m
[it 0083] step=84992 | EpRew=-0.6 EpCost=0.0 | Vr=0.006 Vc=0.007 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=4.7m
[it 0084] step=86016 | EpRew=-0.8 EpCost=0.0 | Vr=0.004 Vc=0.004 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=4.8m
[it 0085] step=87040 | EpRew=-2.0 EpCost=0.0 | Vr=0.007 Vc=0.006 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=4.8m
[it 0086] step=88064 | EpRew=-1.7 EpCost=0.0 | Vr=0.005 Vc=0.004 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=4.9m
[it 0087] step=89088 | EpRew=-0.7 EpCost=108.0 | Vr=0.007 Vc=10.500 | PiLoss=0.030 Track=0.030 MeanRatio=1.000 LB%=0.0% | time=4.9m
[it 0088] step=90112 | EpRew=1.2 EpCost=0.0 | Vr=0.005 Vc=0.004 | PiLoss=0.028 Track=0.028 MeanRatio=1.000 LB%=0.0% | time=5.0m
[it 0089] step=91136 | EpRew=-0.2 EpCost=0.0 | Vr=0.009 Vc=0.009 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=5.1m
[it 0090] step=92160 | EpRew=-0.2 EpCost=67.0 | Vr=0.006 Vc=6.987 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=5.1m
[it 0091] step=93184 | EpRew=-0.9 EpCost=0.0 | Vr=0.006 Vc=0.006 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=5.2m
[it 0092] step=94208 | EpRew=-0.5 EpCost=0.0 | Vr=0.004 Vc=0.004 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=5.2m
